id,name,color,price,available,old_price,category,sub_category,piority,description,set
1,Кресло офисное Престиж,,3950,10,4950,office,office_armchair ,,,
2,Кресло офисное Галакси-S (S-BP 8),,7400,0,8790,office,office_armchair ,,,
3,Кресло офисное Samurai K-1.03,,21600,1,23960,office,office_armchair ,,,
4,Кресло Metta LK-11,,17500,2,,office,office_armchair ,,,
5,Стул ИЗО,,1780,120,,office,office_chair ,1,,
6,Стул С+,,1550,100,,office,office_chair ,1,,
7,Стул Сильвия,чёрный,3900,5,,office,office_chair ,2,,
8,Стул Сильвия,синий,3900,5,,office,office_chair ,2,,
9,Стул Сильвия,красный,3900,5,,office,office_chair ,2,,
10,Стул Сильвия,желтый,3900,5,,office,office_chair ,2,,
11,Механизм качания LUX 150х250,,1900,5,,,accessories,1,Механизм для качания кресел позволяет фиксировать любой угол наклона. Пользователь может настроить уровень жесткости и силы качания под свой вес с помощью ручки на механизме качания.,
12,Механизм качания топ-ган 003У 150х200,,1030,5,,,accessories,1,"Механизм качания топ-ган офисного кресла 003У обеспечивает регулировку высоты кресла, фиксацию в нужном положении, и позволяет оставить в успокаивающем режиме качания. Межосевые расстояния крепежных отверстий — 152 мм и 252 мм",
13,Пиастра круглая ля офисного кресла 83х83 мм,,920,10,,,accessories,1,,
14,Газлифт хромированный усиленный (3 класс),,1030,9,,,accessories,1,,
15,Ролики пластиковые для офисного кресла,,460,13,,,accessories,2,,5 шт.
16,Газлифт длинный (2 класс),,1490,7,,,accessories,2,"Длинный газлифт — деталь, устанавливающаяся между сиденьем и крестовиной офисного кресла или барного стула. Такое устройство представляет собой стальной корпус, полностью скрытый под пластиковой оболочкой. Оно отвечает за удержание выставленной высоты. В нем есть маленький цилиндр, вмещающий шток, поршень и воздушные камеры с клапаном, которые приводят пневмопатрон в действие. 
Длинный газлифт состоит из двух цилиндров — узкого и широкого. Первый вставляется в специальную крестовину кресла, а второй — в пиастру под сиденьем или механизм качания. Подъем обеспечивает рабочий газ, который под высоким давлением закачан в узкий цилиндр. Регулировать высоту кресла можно только с помощью специального рычага, расположенного под сиденьем. Одним нажатием можно опустить или поднять его. 
2 класс подходит для кресла, выдерживающего нагрузку до 100 кг.",Длина штока 265 мм
17,Стул барный Olimp,чёрный,5950,10,,home,bar_stool,,,
18,Стул барный Olimp,красный,5950,10,,home,bar_stool,,,
19,Стул барный Olimp,белый,5950,10,,home,bar_stool,,,
20,Стул барный Kruger,чёрный,6200,5,,home,bar_stool,,Мягкий барный стул с подлокотниками Kruger снабжен поворотно подъемным механизмом газ-лифт. Обивка сиденья — экокожа. Идеальное решение для домашнего бара. Нагрузка на газ-лифт - до 100 кг.,
21,Стул барный Kruger,красный,6200,5,,home,bar_stool,,Мягкий барный стул с подлокотниками Kruger снабжен поворотно подъемным механизмом газ-лифт. Обивка сиденья — экокожа. Идеальное решение для домашнего бара. Нагрузка на газ-лифт - до 100 кг.,
22,Стул барный Kruger,белый,6200,5,,home,bar_stool,,Мягкий барный стул с подлокотниками Kruger снабжен поворотно подъемным механизмом газ-лифт. Обивка сиденья — экокожа. Идеальное решение для домашнего бара. Нагрузка на газ-лифт - до 100 кг.,
23,Геймерское кресло RAG,,18400,2,,home,gaming_chair,,,
24,Геймерское кресло REACH,чёрный,26000,1,,home,gaming_chair,,,
25,Кресло детское Логика,голубой,3190,5,,home,child_seat,,,
26,Кресло детское Логика,розовое,3190,5,,home,child_seat,,,
27,Кресло детское Логика,чёрное,3190,5,,home,child_seat,,,
